 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
1,Image01_cropped.jpg,22449,1845.02319,136.86487,603.65390,0.77416,1.49494,0.66892,0.97312
2,Image01_cropped.jpg,19179,2255.69068,172.48399,574.49957,0.73022,1.63640,0.61110,0.95311
3,Image01_cropped.jpg,18060,1794.93948,235.33427,612.84986,0.60425,1.70829,0.58538,0.95356
4,Image01_cropped.jpg,20363,2001.38656,239.47535,570.52395,0.78615,1.13808,0.87867,0.98012
5,Image01_cropped.jpg,23436,1288.60454,237.18126,617.20310,0.77310,1.42965,0.69947,0.96949
6,Image01_cropped.jpg,14752,2199.86937,254.43133,560.19805,0.59071,1.79227,0.55795,0.90684
7,Image01_cropped.jpg,34128,2433.66910,327.45265,731.15137,0.80224,1.21772,0.82120,0.97549
8,Image01_cropped.jpg,25455,1700.03793,353.29615,650.64885,0.75560,1.28248,0.77974,0.97778
9,Image01_cropped.jpg,16350,1930.93187,347.86508,590.50671,0.58922,1.08146,0.92468,0.96586
10,Image01_cropped.jpg,41069,1078.20598,378.69796,863.35952,0.69237,1.16850,0.85580,0.97447
11,Image01_cropped.jpg,26311,2265.20450,368.70490,659.69553,0.75973,1.10824,0.90233,0.94775
12,Image01_cropped.jpg,35599,1415.07760,396.78074,770.28846,0.75395,1.33564,0.74870,0.96894
13,Image01_cropped.jpg,17692,1252.45473,358.52707,585.40411,0.64875,1.35045,0.74049,0.95295
14,Image01_cropped.jpg,23823,858.08204,440.49866,635.79603,0.74058,1.60401,0.62344,0.95479
15,Image01_cropped.jpg,29745,1562.59971,495.02382,693.21024,0.77785,1.33293,0.75023,0.97265
16,Image01_cropped.jpg,40332,2174.96053,535.05306,840.81537,0.71690,1.12486,0.88900,0.96717
17,Image01_cropped.jpg,18797,826.62853,547.39695,687.27626,0.50008,1.63137,0.61298,0.92719
18,Image01_cropped.jpg,21553,2375.66341,571.24435,607.35238,0.73424,1.29934,0.76962,0.95454
19,Image01_cropped.jpg,41284,620.93867,621.41544,903.96970,0.63487,1.16387,0.85920,0.96587
20,Image01_cropped.jpg,5521,2033.69833,557.39151,326.03153,0.65269,1.71354,0.58359,0.92829
21,Image01_cropped.jpg,30077,2750.48607,626.87893,692.22244,0.78877,1.32254,0.75612,0.98006
22,Image01_cropped.jpg,32623,1134.94220,652.53191,821.86205,0.60693,1.58822,0.62964,0.97225
23,Image01_cropped.jpg,49067,2503.40325,675.47385,894.85700,0.77000,1.49031,0.67100,0.97709
24,Image01_cropped.jpg,24066,1908.52605,596.16825,781.92092,0.49464,2.46316,0.40598,0.90290
25,Image01_cropped.jpg,14505,2293.66980,656.61927,541.79603,0.62095,1.56292,0.63983,0.93280
26,Image01_cropped.jpg,26873,1553.26147,645.69521,679.36962,0.73167,1.45028,0.68952,0.94864
27,Image01_cropped.jpg,41785,918.55078,776.39929,946.33723,0.58633,1.14929,0.87010,0.96208
28,Image01_cropped.jpg,28867,1381.12161,744.75326,681.67828,0.78064,1.37885,0.72524,0.97838
29,Image01_cropped.jpg,22525,1808.88930,725.91216,587.39401,0.82038,1.10827,0.90230,0.98208
30,Image01_cropped.jpg,38415,2826.44791,786.49578,856.12908,0.65862,1.77112,0.56462,0.96081
31,Image01_cropped.jpg,31113,1598.72444,794.59437,776.53110,0.64839,1.59830,0.62567,0.95002
32,Image01_cropped.jpg,43709,3016.84343,811.42500,881.84480,0.70631,1.31919,0.75804,0.96622
