 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
1,Image01_cropped.jpg,22449,1845.02319,136.86487,603.65390,0.77416,1.49494,0.66892,0.97312
2,Image01_cropped.jpg,19179,2255.69068,172.48399,574.49957,0.73022,1.63640,0.61110,0.95311
3,Image01_cropped.jpg,18060,1794.93948,235.33427,612.84986,0.60425,1.70829,0.58538,0.95356
4,Image01_cropped.jpg,20363,2001.38656,239.47535,570.52395,0.78615,1.13808,0.87867,0.98012
5,Image01_cropped.jpg,23436,1288.60454,237.18126,617.20310,0.77310,1.42965,0.69947,0.96949
6,Image01_cropped.jpg,1,1717.50000,171.50000,2.82843,1.00000,1.00000,1.00000,1.00000
7,Image01_cropped.jpg,14752,2199.86937,254.43133,560.19805,0.59071,1.79227,0.55795,0.90684
8,Image01_cropped.jpg,34128,2433.66910,327.45265,731.15137,0.80224,1.21772,0.82120,0.97549
9,Image01_cropped.jpg,1,2315.50000,250.50000,2.82843,1.00000,1.00000,1.00000,1.00000
10,Image01_cropped.jpg,25455,1700.03793,353.29615,650.64885,0.75560,1.28248,0.77974,0.97778
11,Image01_cropped.jpg,16350,1930.93187,347.86508,590.50671,0.58922,1.08146,0.92468,0.96586
12,Image01_cropped.jpg,41069,1078.20598,378.69796,863.35952,0.69237,1.16850,0.85580,0.97447
13,Image01_cropped.jpg,26311,2265.20450,368.70490,659.69553,0.75973,1.10824,0.90233,0.94775
14,Image01_cropped.jpg,35599,1415.07760,396.78074,770.28846,0.75395,1.33564,0.74870,0.96894
15,Image01_cropped.jpg,1,1884.50000,273.50000,2.82843,1.00000,1.00000,1.00000,1.00000
16,Image01_cropped.jpg,3,1884.50000,279.50000,6.82843,0.80852,3.00000,0.33333,1.00000
17,Image01_cropped.jpg,2,1866.00000,290.00000,5.65685,0.78540,2.64575,0.37796,0.66667
18,Image01_cropped.jpg,17692,1252.45473,358.52707,585.40411,0.64875,1.35045,0.74049,0.95295
19,Image01_cropped.jpg,1,1811.50000,313.50000,2.82843,1.00000,1.00000,1.00000,1.00000
20,Image01_cropped.jpg,23823,858.08204,440.49866,635.79603,0.74058,1.60401,0.62344,0.95479
21,Image01_cropped.jpg,1,1615.50000,362.50000,2.82843,1.00000,1.00000,1.00000,1.00000
22,Image01_cropped.jpg,1,1614.50000,364.50000,2.82843,1.00000,1.00000,1.00000,1.00000
23,Image01_cropped.jpg,1,970.50000,394.50000,2.82843,1.00000,1.00000,1.00000,1.00000
24,Image01_cropped.jpg,1,1871.50000,400.50000,2.82843,1.00000,1.00000,1.00000,1.00000
25,Image01_cropped.jpg,1,1303.50000,402.50000,2.82843,1.00000,1.00000,1.00000,1.00000
26,Image01_cropped.jpg,29745,1562.59971,495.02382,693.21024,0.77785,1.33293,0.75023,0.97265
27,Image01_cropped.jpg,40332,2174.96053,535.05306,840.81537,0.71690,1.12486,0.88900,0.96717
28,Image01_cropped.jpg,1,2497.50000,406.50000,2.82843,1.00000,1.00000,1.00000,1.00000
29,Image01_cropped.jpg,1,1880.50000,411.50000,2.82843,1.00000,1.00000,1.00000,1.00000
30,Image01_cropped.jpg,1,1884.50000,416.50000,2.82843,1.00000,1.00000,1.00000,1.00000
31,Image01_cropped.jpg,1,1943.50000,418.50000,2.82843,1.00000,1.00000,1.00000,1.00000
32,Image01_cropped.jpg,18797,826.62853,547.39695,687.27626,0.50008,1.63137,0.61298,0.92719
